plot_id,plt_cn,x,y,year,time,county_fips,county,fia_unit,fia_unit_name,forested,proportion_forested,nonsamp_prop,agb_live_mg_ha,agb_live_c_mg_ha,agb_dead_mg_ha,tcc_mean
3276,645308330126144,-2059618.9640185873,2901776.7981934017,2020,2020.863387978142,53041,Lewis,7,Southwest,TRUE,0.953856,0,0,0,0,62.08879852294922
3277,645308331126144,-1942640.223396538,2873141.6005254285,2020,2020.568306010929,53041,Lewis,7,Southwest,TRUE,1,0,230.78264861505238,112.2474872806612,67.67300706856959,76.6407699584961
3278,645308337126144,-2045800.5603450993,2902646.856377817,2020,2020.6666666666667,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,26.04216766357422
3279,645308338126144,-2034833.83787397,2901066.2079772255,2020,2020.6666666666667,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,35.716270446777344
3280,645308339126144,-2007833.957708059,2895354.602365052,2020,2020.5300546448088,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,38.00555419921875
3281,645308347126144,-1952520.6925828485,2888126.1708866036,2020,2020.8688524590164,53041,Lewis,7,Southwest,TRUE,1,0,120.76480003056548,62.31463682351543,1.9538845949173154,81.30140686035156
3282,645308348126144,-2018070.4011229726,2900931.8085014545,2020,2020.6666666666667,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,39.948238372802734
3283,645308357126144,-1955860.7461932003,2888508.167549018,2020,2020.7486338797814,53041,Lewis,7,Southwest,TRUE,1,0,701.7652588457231,361.5706495833234,86.05654161884658,82.92315673828125
3284,645308364126144,-1966582.386369511,2891255.8169784592,2020,2020.7459016393443,53041,Lewis,7,Southwest,TRUE,1,0,601.9992319994157,306.7663872491606,65.63805671451225,79.47151184082031
3285,645308371126144,-2030726.867919739,2915684.8350956785,2020,2020.6666666666667,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,48.197120666503906
3286,645308372126144,-1959686.7499756054,2895143.580953723,2020,2020.5655737704917,53041,Lewis,7,Southwest,TRUE,0.954448,0.045552,604.5301570385789,309.0085571572767,72.13573760340181,79.01363372802734
3287,645308373126144,-1943579.0420183223,2890670.6458314266,2020,2020.7431693989072,53041,Lewis,7,Southwest,TRUE,1,0,280.4295107014873,144.2311469668845,18.22375092246209,82.15361022949219
3288,645308379126144,-2044990.5689497292,2922579.165633113,2020,2020.6666666666667,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,17.54136848449707
3289,645308389126144,-1977576.3830843992,2906378.840067437,2020,2020.7978142076502,53041,Lewis,7,Southwest,TRUE,1,0,531.5157933215676,269.82138808314073,30.08372300172505,81.11808776855469
3290,645308396126144,-1993501.4326668433,2917000.2017730875,2020,2020.795081967213,53041,Lewis,7,Southwest,TRUE,1,0,706.629381235256,363.8968751358541,84.1303460676452,82.478912353515625
3291,645308397126144,-1952305.5165574844,2903972.391854515,2020,2020.5901639344263,53041,Lewis,7,Southwest,TRUE,0.689313,0.079514,51.230707924958146,24.60465886160667,0.6145882429313543,73.2764892578125
3292,714229217290487,-1944537.46981342,2867974.6510894177,2020,2020.7431693989072,53041,Lewis,7,Southwest,TRUE,1,0,417.0918672937663,210.4715893555671,41.56083184335855,78.06270599365234
3293,714229304290487,-1947795.7698756063,2886009.862708401,2020,2020.7704918032787,53041,Lewis,7,Southwest,TRUE,1,0,194.21926284852267,98.6685111218245,4.934526499086963,81.06034851074219
3294,714229305290487,-1947024.7786863728,2888620.1654526633,2020,2020.7868852459017,53041,Lewis,7,Southwest,TRUE,1,0,446.5122727834086,230.05775765852243,6.34783438747971,70.00505065917969
3295,714229306290487,-1956923.9507007825,2874479.1457167394,2020,2020.6475409836066,53041,Lewis,7,Southwest,TRUE,0.718114,0.281886,342.2677244788836,175.78571717579933,43.79154658614398,79.76651763916016
3296,714229315290487,-1962961.142404241,2873409.452383518,2020,2020.811475409836,53041,Lewis,7,Southwest,TRUE,0.876054,0,446.4820198867473,229.98657181958947,37.922742892668026,72.8653335571289
3297,714229316290487,-1966363.7096144522,2871572.9231196446,2020,2020.7568306010928,53041,Lewis,7,Southwest,TRUE,0.90957,0,329.9646465145898,168.74929858206897,12.14044721115693,79.73226165771484
3298,714229317290487,-1964820.6418976255,2876806.77870153,2020,2020.7677595628415,53041,Lewis,7,Southwest,TRUE,1,0,192.82653846550662,99.07277586346544,10.488070946848307,80.60895538330078
3299,714229318290487,-1960192.3623640365,2892503.0218613506,2020,2020.7650273224044,53041,Lewis,7,Southwest,TRUE,0.970165,0.029835,497.8495616646718,250.79002055474044,52.81105620167784,73.0239028930664
3300,714229319290487,-1958647.035319938,2897742.8907422675,2020,2020.74043715847,53041,Lewis,7,Southwest,TRUE,1,0,230.69786557491238,117.95919355627659,2.6182674922277203,77.87324523925781
3301,714229320290487,-1965910.791655746,2882815.481044313,2020,2020.8169398907103,53041,Lewis,7,Southwest,TRUE,1,0,282.22648854540904,142.02593167675775,24.34870150229542,68.9415054321289
3302,714229321290487,-1963595.9824664483,2890668.286826317,2020,2020.8032786885246,53041,Lewis,7,Southwest,TRUE,0.970569,0.029431,524.0793968273613,262.98563210465943,65.60068542926365,69.77198791503906
3303,714229335290487,-1972269.542035956,2890374.344463299,2020,2020.8360655737704,53041,Lewis,7,Southwest,TRUE,0.69293,0.25,421.0959930418606,216.90866887251883,5.674931071945349,73.96843719482422
3304,714229336290487,-1969185.0991129573,2900846.7401274554,2020,2020.7377049180327,53041,Lewis,7,Southwest,TRUE,1,0,445.6076676558643,227.1887801442148,4.498865111197438,76.98358917236328
3305,714229337290487,-1966875.666115662,2908686.8187474576,2020,2020.4590163934427,53041,Lewis,7,Southwest,TRUE,0.887294,0.112706,441.9822286329628,226.3621206883281,24.17082310205405,67.691436767578125
3306,714229338290487,-1992131.8528572314,2910429.8062002994,2020,2020.8306010928961,53041,Lewis,7,Southwest,TRUE,1,0,617.3466462927909,315.13345150458036,40.217510896645244,82.86676025390625
3307,714229349290487,-2002342.7310825111,2904896.8105637375,2020,2020.5874316939892,53041,Lewis,7,Southwest,TRUE,1,0,108.70574537335582,55.39002486245139,3.7675513748558442,82.00993347167969
3308,645308305126144,-2051104.3078577025,2927718.2928665443,2021,2021.3424657534247,53041,Lewis,7,Southwest,TRUE,1,0,202.27367543622253,104.05563075451045,5.220739795959669,72.31975555419922
3309,645308312126144,-1997894.3344806184,2880252.1415685997,2021,2021.6054794520549,53041,Lewis,7,Southwest,TRUE,0.999046,9.54e-4,207.03629689356413,105.26913204227267,16.046082215292373,61.747413635253906
3310,645308329126144,-2003086.8983612354,2896895.087333899,2021,2021.3972602739725,53041,Lewis,7,Southwest,TRUE,0.85439,0,198.86280370471414,100.25079025872176,12.271797971796115,62.797576904296875
3311,645308349126144,-1980803.224329703,2889737.661572575,2021,2021.7424657534248,53041,Lewis,7,Southwest,TRUE,1,0,117.64132039525506,60.3696822454162,4.688216075506285,70.07978820800781
3312,645308356126144,-1995398.566844036,2898621.9368732986,2021,2021.5506849315068,53041,Lewis,7,Southwest,TRUE,1,0,182.72549820711853,93.00065469838857,52.50707848368852,73.8124771118164
3313,645308363126144,-2057808.233563548,2921378.5557919345,2021,2021.3780821917808,53041,Lewis,7,Southwest,TRUE,0.447177,0,5.63725595990907,2.9088241503895254,0,62.261173248291016
3314,645308370126144,-2069260.817327771,2926722.5181081975,2021,2021.4,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,57.2534294128418
3315,645308380126144,-2003117.1244086393,2913937.195482197,2021,2021.4054794520548,53041,Lewis,7,Southwest,TRUE,0.7247319999999999,0.15015,98.93219567797357,49.402735274813935,7.890641250765434,76.7707290649414
3316,645308388126144,-2018206.3536159236,2918599.593520533,2021,2021.3671232876711,53041,Lewis,7,Southwest,TRUE,1,0,181.14369312723716,92.02307560867816,9.50685855171316,82.86373138427734
3317,645308404126144,-2054442.8159323302,2938785.7978053163,2021,2021.6712328767123,53041,Lewis,7,Southwest,TRUE,1,0,208.46871700837812,104.61388806828745,13.47358424045797,63.06901931762695
3318,750082294290487,-2048263.1626919417,2892616.633511042,2021,2021.3534246575343,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,26.518054962158203
3319,750082300290487,-2058100.1089057429,2898533.681748343,2021,2021.558904109589,53041,Lewis,7,Southwest,TRUE,1,0,63.00371043593136,32.3968402465431,0,76.02937316894531
3320,750082301290487,-2020044.224369463,2887147.2738600727,2021,2021.7452054794521,53041,Lewis,7,Southwest,TRUE,0.897487,0.102513,68.6749894375147,35.41794968335473,2.6603071116406696,79.30485534667969
3321,750082308290487,-2005823.6032898559,2890912.7154357457,2021,2021.3205479452056,53041,Lewis,7,Southwest,TRUE,0.33297,0,45.666306139744535,22.05682586252866,5.071597844246482,73.228851318359375
3322,750082318290487,-1969458.5047267543,2881328.711173491,2021,2021.6712328767123,53041,Lewis,7,Southwest,TRUE,1,0,631.2638408372356,320.0461038109143,126.72887411879358,78.91583251953125
3323,750082325290487,-2069942.4717031135,2912699.585429064,2021,2021.4027397260274,53041,Lewis,7,Southwest,TRUE,1,0,73.87716948507253,37.1172927351349,0,78.38018798828125
3324,750082333290487,-2054475.0019895623,2917027.2281215275,2021,2021.4767123287672,53041,Lewis,7,Southwest,TRUE,1,0,140.25155158526036,70.59447569152326,3.0532415021045973,57.849422454833984
3325,750082334290487,-2016302.3847139438,2905755.0367520815,2021,2021.3643835616438,53041,Lewis,7,Southwest,TRUE,1,0,243.33366099838753,125.24229990695453,19.929052123956815,62.536319732666016
3326,750082341290487,-2032073.8543330594,2910980.199864446,2021,2021.4027397260274,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,62.25864791870117
3327,750082342290487,-2006408.8517592647,2902774.7543794718,2021,2021.3561643835617,53041,Lewis,7,Southwest,TRUE,0.636163,0.25,61.595254098351624,30.936738513759842,2.20218639366246,57.2423210144043
